directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8038184,1,2,1,10,2024,2,49,4.0,,2
8038184,1,3,1,10,2024,2,15,5.0,,3
8038186,1,4,1,10,2024,2,14,4.0,,8
8038187,1,2,1,10,2024,2,56,3.0,,10
8038188,1,2,1,10,2024,1,31,3.0,2800000.0,12
8038188,1,3,1,10,2024,2,17,6.0,,13
8038188,1,4,1,10,2024,1,14,5.0,,14
8038189,1,1,1,10,2024,1,33,3.0,1300000.0,15
8038189,1,2,1,10,2024,2,32,5.0,,16
8038191,1,1,1,10,2024,2,42,8.0,1300000.0,19
8038192,1,1,1,10,2024,1,36,4.0,1300000.0,20
8038192,1,2,1,10,2024,2,35,3.0,1000000.0,21
8038192,1,3,1,10,2024,2,16,5.0,,22
8038193,1,1,1,10,2024,1,65,3.0,,24
8038193,1,3,1,10,2024,2,9,3.0,,26
8038196,1,1,1,10,2024,2,65,3.0,,34
8038200,1,1,1,10,2024,2,75,1.0,400000.0,39
8038205,1,1,1,10,2024,1,83,3.0,350000.0,51
8038206,1,3,1,10,2024,1,14,4.0,,54
8038207,1,1,1,10,2024,1,47,3.0,1000000.0,55
8038207,1,2,1,10,2024,2,50,3.0,,56
8038207,1,4,1,10,2024,2,17,5.0,,58
8038209,1,2,1,10,2024,2,52,8.0,,63
8038211,1,1,1,10,2024,1,74,1.0,500000.0,65
8038215,1,1,1,10,2024,1,54,3.0,800000.0,71
8038215,1,2,1,10,2024,2,43,3.0,,72
8038215,1,4,1,10,2024,1,17,6.0,,74
8038216,1,3,1,10,2024,1,9,3.0,,77
8038220,1,2,1,10,2024,2,35,3.0,,91
8038221,1,4,1,10,2024,1,1,,,97
8038222,1,3,1,10,2024,1,13,4.0,,100
8038223,1,2,1,10,2024,2,38,3.0,350000.0,102
8038223,1,3,1,10,2024,1,18,6.0,,103
8038223,1,4,1,10,2024,1,11,3.0,,104
8038224,1,2,1,10,2024,2,62,3.0,,106
8038227,1,1,1,10,2024,2,74,3.0,,110
8038227,1,2,1,10,2024,1,83,3.0,,111
8038228,1,1,1,10,2024,1,74,1.0,,112
8038232,1,5,1,10,2024,1,4,2.0,,121
8038234,1,1,1,10,2024,1,53,3.0,1300000.0,124
8038235,1,1,1,10,2024,1,60,10.0,1500000.0,125
8038237,1,1,1,10,2024,1,51,10.0,5200000.0,127
8038237,1,2,1,10,2024,2,44,5.0,,128
8038238,1,2,1,10,2024,1,19,5.0,,132
8038241,1,2,1,10,2024,2,60,11.0,,139
8038243,1,1,1,10,2024,1,41,6.0,2538000.0,141
8038243,1,3,1,10,2024,2,20,10.0,160000.0,143
8038244,1,3,1,10,2024,2,10,3.0,,146
8038245,1,1,1,10,2024,1,47,5.0,1500000.0,148
8038245,1,3,1,10,2024,2,22,10.0,300000.0,150
