directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8436099,1,1,1,10,2025,1,54,3.0,500000.0,386
8436100,1,1,1,10,2025,1,40,5.0,1430000.0,389
8436101,1,1,1,10,2025,1,29,5.0,1423500.0,393
8436101,1,2,1,10,2025,2,18,5.0,,394
8436102,1,2,1,10,2025,2,40,3.0,950000.0,396
8436103,1,2,1,10,2025,1,17,5.0,,400
8436103,1,3,1,10,2025,1,14,4.0,,401
8436106,1,1,1,10,2025,2,41,3.0,600000.0,406
8436106,1,2,1,10,2025,2,14,4.0,,407
8436107,1,1,1,10,2025,2,80,1.0,,408
8436107,1,2,1,10,2025,2,50,1.0,,409
8436109,1,1,1,10,2025,2,76,3.0,,410
8436112,1,1,1,10,2025,1,74,3.0,,415
8436115,1,2,1,10,2025,2,52,3.0,364000.0,422
8436118,1,2,1,10,2025,1,15,5.0,,428
8436119,1,2,1,10,2025,2,58,3.0,,430
8436120,1,1,1,10,2025,1,46,3.0,950000.0,431
8436121,1,1,1,10,2025,1,41,3.0,1000000.0,436
8436121,1,4,1,10,2025,2,13,4.0,,439
8436121,1,5,1,10,2025,1,3,1.0,,440
8436122,1,2,1,10,2025,2,29,5.0,,442
8436122,1,4,1,10,2025,2,3,1.0,,444
8436123,1,1,1,10,2025,2,83,1.0,,445
8436124,1,3,1,10,2025,2,16,5.0,,448
8436126,1,1,1,10,2025,2,52,3.0,600000.0,452
8436126,1,2,1,10,2025,2,26,5.0,,453
8436129,1,1,1,10,2025,2,63,3.0,,459
8436130,1,1,1,10,2025,1,46,3.0,530000.0,460
8436130,1,2,1,10,2025,2,35,3.0,,461
8436132,1,3,1,10,2025,1,23,4.0,,469
8436136,1,5,1,10,2025,1,0,,,476
8436137,1,1,1,10,2025,1,46,3.0,2000000.0,477
8436138,1,1,1,10,2025,1,30,5.0,350000.0,482
8436141,1,5,1,10,2025,2,15,5.0,,494
8436142,1,1,1,10,2025,1,37,3.0,2000000.0,495
8436144,1,1,1,10,2025,2,73,3.0,,499
8436146,1,1,1,10,2025,1,75,3.0,,500
8436148,1,1,1,10,2025,1,42,3.0,1400000.0,503
8436153,1,2,1,10,2025,2,66,11.0,,511
8436153,1,3,1,10,2025,2,33,9.0,,512
8436155,1,1,1,10,2025,1,68,12.0,,514
8436156,1,1,1,10,2025,2,52,5.0,,515
8436156,1,2,1,10,2025,1,24,10.0,,516
8436157,1,1,1,10,2025,1,65,3.0,4900000.0,517
8436163,1,1,1,10,2025,1,39,5.0,1800000.0,527
8436165,1,2,1,10,2025,1,38,6.0,2100000.0,534
8436166,1,1,1,10,2025,1,52,6.0,3200000.0,535
8436166,1,2,1,10,2025,2,44,5.0,,536
8436166,1,3,1,10,2025,2,19,10.0,,537
8436169,1,2,1,10,2025,1,7,3.0,,542
8436169,1,3,1,10,2025,1,1,,,543
8436170,1,2,1,10,2025,2,12,4.0,,545
8436171,1,2,1,10,2025,1,33,5.0,1200000.0,547
8436172,1,1,1,10,2025,1,61,3.0,,548
8436172,1,2,1,10,2025,2,70,1.0,,549
8436173,1,1,1,10,2025,2,53,3.0,,550
8436173,1,4,1,10,2025,1,17,4.0,,553
8436177,1,2,1,10,2025,2,20,5.0,460000.0,563
8436180,1,1,1,10,2025,2,34,5.0,600000.0,569
8436183,1,2,1,10,2025,2,44,3.0,,580
8436183,1,3,1,10,2025,2,14,5.0,,581
8436183,1,4,1,10,2025,1,6,3.0,,582
8436185,1,1,1,10,2025,1,96,3.0,,587
8436185,1,2,1,10,2025,2,68,4.0,,588
8436188,1,1,1,10,2025,2,25,10.0,1423500.0,592
8436189,1,1,1,10,2025,2,62,4.0,1400000.0,594
8436190,1,2,1,10,2025,1,53,6.0,900000.0,596
8436191,1,2,1,10,2025,2,47,9.0,1423500.0,598
8436193,1,1,1,10,2025,1,73,3.0,100000.0,603
8436195,1,2,1,10,2025,2,46,5.0,240000.0,607
8436197,1,2,1,10,2025,2,52,5.0,,612
8436198,1,3,1,10,2025,2,78,1.0,,615
8436198,1,4,1,10,2025,1,85,3.0,,616
8436199,1,1,1,10,2025,2,62,1.0,,617
8436204,1,1,1,10,2025,2,73,3.0,,626
8436206,1,3,1,10,2025,1,8,3.0,,630
8436206,1,4,1,10,2025,1,16,5.0,,631
8436207,1,1,1,10,2025,2,63,5.0,,632
8436208,1,2,1,10,2025,1,59,3.0,1423500.0,634
8436210,1,2,1,10,2025,2,21,8.0,,640
8436211,1,3,1,10,2025,2,6,3.0,,643
8436212,1,2,1,10,2025,2,28,4.0,,645
8436212,1,3,1,10,2025,2,12,4.0,,646
8436213,1,2,1,10,2025,2,16,4.0,,649
8436213,1,3,1,10,2025,2,7,3.0,,650
8436214,1,3,1,10,2025,2,36,8.0,,653
8436221,1,2,1,10,2025,2,58,3.0,,669
8436222,1,1,1,10,2025,1,72,5.0,,670
8436222,1,3,1,10,2025,1,10,3.0,,672
8436225,1,1,1,10,2025,1,54,9.0,1800000.0,675
8436226,1,3,1,10,2025,1,4,1.0,,680
8436226,1,4,1,10,2025,2,26,5.0,,681
8436228,1,1,1,10,2025,1,80,4.0,1500000.0,686
8436230,1,1,1,10,2025,1,73,3.0,1300000.0,689
8436231,1,2,1,10,2025,2,17,6.0,,691
8436232,1,2,1,10,2025,2,55,3.0,,694
8436233,1,2,1,10,2025,1,51,4.0,,696
8436234,1,2,1,10,2025,1,60,3.0,800000.0,699
8436235,1,2,1,10,2025,2,53,8.0,,701
8436236,1,3,1,10,2025,1,80,3.0,,704
8436237,1,2,1,10,2025,2,54,3.0,,706
8436239,1,1,1,10,2025,1,54,3.0,800000.0,709
8436240,1,2,1,10,2025,1,57,3.0,400000.0,712
8436241,1,3,1,10,2025,1,21,5.0,,715
8436243,1,1,1,10,2025,1,75,4.0,,718
8436248,1,1,1,10,2025,1,70,3.0,1723500.0,729
8436249,1,2,1,10,2025,1,60,3.0,1100000.0,731
8436250,1,2,1,10,2025,1,34,8.0,1800000.0,734
8436250,1,3,1,10,2025,2,16,4.0,,735
8436251,1,1,1,10,2025,1,74,4.0,900000.0,736
8436253,1,1,1,10,2025,1,45,3.0,1350000.0,739
8436255,1,1,1,10,2025,2,35,4.0,600000.0,746
8436255,1,2,1,10,2025,1,48,3.0,1200000.0,747
8436255,1,3,1,10,2025,2,15,4.0,,748
8436255,1,4,1,10,2025,2,12,3.0,,749
8436258,1,1,1,10,2025,1,74,1.0,600000.0,752
8436258,1,4,1,10,2025,1,12,4.0,,755
8436263,1,1,1,10,2025,1,24,5.0,1800000.0,764
8436264,1,1,1,10,2025,1,55,10.0,1623500.0,766
8436265,1,1,1,10,2025,1,37,5.0,1800000.0,770
8436265,1,3,1,10,2025,2,14,4.0,,772
8436268,1,2,1,10,2025,1,17,6.0,,774
8436271,1,2,1,10,2025,2,50,5.0,,782
8436274,1,2,1,10,2025,2,72,3.0,1300000.0,790
8436276,1,4,1,10,2025,1,6,3.0,,798
8436278,1,1,1,10,2025,2,50,4.0,580000.0,804
8436279,1,1,1,10,2025,1,45,4.0,1800000.0,806
8436279,1,3,1,10,2025,2,22,5.0,,808
8436280,1,2,1,10,2025,2,53,3.0,,812
8436282,1,1,1,10,2025,1,48,3.0,1800000.0,814
8436282,1,4,1,10,2025,1,16,5.0,,817
8436287,1,2,1,10,2025,2,34,3.0,,822
8436287,1,3,1,10,2025,1,16,4.0,,823
8436289,1,1,1,10,2025,1,57,3.0,1400000.0,826
8436289,1,2,1,10,2025,2,53,3.0,0.0,827
8436290,1,2,1,10,2025,1,36,3.0,1200000.0,830
8436291,1,2,1,10,2025,2,44,3.0,,832
8436291,1,3,1,10,2025,1,15,3.0,,833
8436292,1,1,1,10,2025,1,74,3.0,800000.0,834
8436294,1,1,1,10,2025,1,39,10.0,4106000.0,839
8436295,1,1,1,10,2025,1,50,3.0,500000.0,843
8436295,1,3,1,10,2025,1,27,5.0,,845
8436297,1,1,1,10,2025,1,65,9.0,,850
8436298,1,3,1,10,2025,1,42,1.0,400000.0,853
8436299,1,2,1,10,2025,1,11,3.0,,855
8436304,1,2,1,10,2025,2,63,3.0,,869
8436304,1,3,1,10,2025,2,12,4.0,,870
8436309,1,1,1,10,2025,1,30,6.0,1050000.0,878
8436309,1,5,1,10,2025,1,1,,,882
8436310,1,1,1,10,2025,1,64,4.0,1850000.0,883
8436310,1,3,1,10,2025,2,22,10.0,1423500.0,885
8436313,1,1,1,10,2025,2,37,5.0,1200000.0,890
8436316,1,1,1,10,2025,2,60,8.0,,897
8436317,1,1,1,10,2025,2,61,3.0,,900
8436318,1,1,1,10,2025,2,69,3.0,100000.0,901
8436321,1,1,1,10,2025,2,80,1.0,,909
8436323,1,3,1,10,2025,1,25,10.0,,914
8436324,1,1,1,10,2025,2,71,3.0,,915
8436325,1,1,1,10,2025,1,84,3.0,,916
8436330,1,1,1,10,2025,2,64,3.0,400000.0,931
8436330,1,2,1,10,2025,2,29,3.0,1423500.0,932
8436330,1,3,1,10,2025,2,9,3.0,,933
8436331,1,2,1,10,2025,2,42,9.0,,935
8436340,1,1,1,10,2025,1,89,3.0,,951
8436341,1,2,1,10,2025,2,18,10.0,,953
8436346,1,1,1,10,2025,1,43,11.0,3300000.0,963
8436354,1,1,1,10,2025,2,27,4.0,240000.0,968
8436354,1,3,1,10,2025,2,0,,,970
8436355,1,1,1,10,2025,1,50,3.0,1200000.0,971
8436357,1,3,1,10,2025,1,40,1.0,1400000.0,976
8436360,1,2,1,10,2025,1,55,1.0,1500000.0,983
8436361,1,3,1,10,2025,1,13,3.0,,986
8436362,1,1,1,10,2025,1,50,3.0,1200000.0,988
8436367,1,1,1,10,2025,2,33,10.0,3500000.0,1002
8436367,1,2,1,10,2025,1,35,4.0,1500000.0,1003
8436369,1,2,1,10,2025,1,13,4.0,,1008
8436369,1,4,1,10,2025,2,1,,,1010
8436372,1,1,1,10,2025,2,34,9.0,1800000.0,1013
8436372,1,3,1,10,2025,2,9,3.0,,1015
8436374,1,4,1,10,2025,2,6,3.0,,1022
8436375,1,2,1,10,2025,2,65,8.0,,1024
8436376,1,1,1,10,2025,1,53,1.0,1400000.0,1025
8436377,1,1,1,10,2025,1,38,3.0,1400000.0,1026
8436378,1,1,1,10,2025,2,90,3.0,,1028
8436381,1,2,1,10,2025,1,32,5.0,1600000.0,1032
8436382,1,2,1,10,2025,2,9,3.0,,1034
8436384,1,2,1,10,2025,2,73,5.0,,1039
8436385,1,1,1,10,2025,1,68,3.0,,1041
8436385,1,4,1,10,2025,2,18,8.0,600000.0,1044
8436386,1,2,1,10,2025,1,24,4.0,1300000.0,1046
8436389,1,1,1,10,2025,1,54,4.0,1500000.0,1051
8436396,1,1,1,10,2025,2,43,3.0,,1055
8436397,1,1,1,10,2025,2,53,4.0,500000.0,1057
8436397,1,2,1,10,2025,2,28,5.0,1423500.0,1058
8436398,1,3,1,10,2025,2,0,,,1061
8436399,1,1,1,10,2025,1,65,3.0,1500000.0,1062
8436399,1,3,1,10,2025,1,33,5.0,1423500.0,1064
8436400,1,3,1,10,2025,2,10,3.0,,1069
8436402,1,1,1,10,2025,1,67,3.0,960000.0,1072
8436404,1,1,1,10,2025,1,70,3.0,,1078
8436404,1,2,1,10,2025,2,63,3.0,,1079
8436405,1,1,1,10,2025,1,27,5.0,1423500.0,1081
8436410,1,2,1,10,2025,2,39,4.0,2170000.0,1087
8436413,1,1,1,10,2025,2,81,3.0,,1090
8436414,1,1,1,10,2025,2,66,10.0,,1093
8436415,1,5,1,10,2025,1,7,3.0,,1098
8436418,1,2,1,10,2025,1,57,3.0,1000000.0,1101
8436418,1,3,1,10,2025,2,8,3.0,,1102
8436419,1,1,1,10,2025,2,26,8.0,1423500.0,1103
8436420,1,1,1,10,2025,2,51,5.0,,1104
8436423,1,1,1,10,2025,1,80,4.0,,1111
8436424,1,2,1,10,2025,2,37,5.0,,1113
8436426,1,1,1,10,2025,1,55,3.0,1400000.0,1117
8436427,1,1,1,10,2025,1,48,10.0,22300000.0,1119
8436427,1,2,1,10,2025,2,45,10.0,3500000.0,1120
8436427,1,3,1,10,2025,1,14,4.0,,1121
8436429,1,1,1,10,2025,1,73,9.0,,1126
8436432,1,3,1,10,2025,1,13,4.0,,1133
8436432,1,4,1,10,2025,2,8,3.0,,1134
8436434,1,3,1,10,2025,1,10,3.0,,1138
8436434,1,4,1,10,2025,1,8,3.0,,1139
8436438,1,1,1,10,2025,1,79,10.0,,1144
8436440,1,2,1,10,2025,2,21,10.0,,1148
8436441,1,5,1,10,2025,2,5,2.0,,1156
