per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;1;1;1;59;1;2;10.0;11000000.0;41.0
2024;12;1;1;1;61;1;3;9.0;3000000.0;41.0
2024;12;2;1;1;39;2;2;5.0;1600000.0;41.0
2024;12;2;1;1;29;3;1;5.0;1300000.0;45.0
2024;12;1;1;1;55;1;3;5.0;1000000.0;49.0
2024;12;5;1;1;39;3;1;3.0;800000.0;3.0
2024;12;1;1;1;69;1;3;3.0;600000.0;1.0
2024;12;2;1;2;40;2;2;10.0;2900000.0;69.0
2024;12;1;1;1;47;1;2;3.0;1500000.0;1.0
2024;12;1;1;2;46;1;2;5.0;1060000.0;56.0
2024;12;2;1;2;52;2;2;10.0;3800000.0;47.0
2024;12;1;1;1;44;1;3;8.0;1500000.0;43.0
2024;12;1;1;2;53;1;3;4.0;300000.0;56.0
2024;12;1;1;1;59;1;2;3.0;450000.0;43.0
2024;12;2;1;1;46;13;2;5.0;2000000.0;96.0
2024;12;1;1;1;32;1;2;5.0;2500000.0;81.0
2024;12;1;1;1;37;1;2;5.0;1300000.0;81.0
2024;12;2;1;1;41;2;3;3.0;400000.0;1.0
2024;12;2;1;2;21;3;1;5.0;450000.0;56.0
2024;12;2;1;1;26;3;1;5.0;600000.0;45.0
2024;12;1;1;1;27;1;2;5.0;1800000.0;68.0
2024;12;1;1;1;30;1;2;5.0;1300000.0;85.0
2024;12;2;1;1;62;2;3;3.0;2000000.0;49.0
2024;12;1;1;1;43;1;2;8.0;2600000.0;45.0
2024;12;3;1;2;31;3;1;9.0;400000.0;96.0
2024;12;3;1;2;26;3;1;5.0;1800000.0;66.0
2024;12;2;1;1;53;3;1;5.0;1000000.0;53.0
2024;12;3;1;1;33;3;1;4.0;600000.0;1.0
2024;12;1;1;1;59;1;3;3.0;1300000.0;56.0
2024;12;2;1;1;42;2;2;4.0;750000.0;43.0
2024;12;1;1;2;33;1;2;8.0;250000.0;81.0
2024;12;2;1;2;53;2;3;8.0;1300000.0;28.0
2024;12;1;1;1;24;1;2;4.0;850000.0;41.0
2024;12;2;1;2;47;2;1;4.0;300000.0;52.0
2024;12;1;1;1;53;1;2;10.0;2100000.0;65.0
2024;12;1;1;2;41;1;2;5.0;1300000.0;14.0
2024;12;2;1;1;36;2;2;3.0;1500000.0;10.0
2024;12;2;1;2;28;2;2;12.0;2800000.0;85.0
2024;12;3;1;2;44;3;1;5.0;500000.0;47.0
2024;12;3;1;1;29;3;1;5.0;1300000.0;10.0
2024;12;3;1;1;41;3;1;5.0;1400000.0;45.0
2024;12;1;1;1;45;1;2;4.0;650000.0;43.0
2024;12;3;1;2;67;4;2;7.0;2600000.0;85.0
2024;12;1;1;1;71;1;3;10.0;800000.0;53.0
2024;12;1;1;1;40;1;3;1.0;1200000.0;41.0
2024;12;1;1;1;40;1;3;5.0;800000.0;1.0
2024;12;1;1;2;44;1;2;8.0;1800000.0;86.0
2024;12;1;1;2;42;1;2;5.0;3500000.0;47.0
2024;12;2;1;1;56;2;3;3.0;1300000.0;25.0
2024;12;4;1;2;25;3;1;5.0;1300000.0;82.0
2024;12;1;1;2;42;1;2;4.0;240000.0;56.0
2024;12;6;1;2;27;3;1;8.0;280000.0;96.0
2024;12;1;1;1;66;1;3;4.0;400000.0;15.0
2024;12;4;1;1;37;7;2;10.0;2000000.0;66.0
2024;12;1;1;1;30;1;2;11.0;4700000.0;85.0
2024;12;1;1;1;27;1;2;6.0;1000000.0;49.0
2024;12;2;1;2;47;2;2;5.0;2000000.0;47.0
2024;12;1;1;2;64;1;3;3.0;1200000.0;47.0
2024;12;1;1;1;29;1;2;4.0;1300000.0;45.0
