per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2025;12;4;1;1;82;9;3;4.0;1400000.0;49.0
2025;12;1;1;2;50;1;2;11.0;5000000.0;86.0
2025;12;2;1;2;41;2;2;8.0;2100000.0;86.0
2025;12;1;1;1;28;1;2;9.0;3200000.0;73.0
2025;12;1;1;2;30;1;2;10.0;650000.0;92.0
2025;12;1;1;1;52;1;3;5.0;800000.0;49.0
2025;12;2;1;2;34;2;2;10.0;2000000.0;53.0
2025;12;2;1;2;72;2;3;3.0;150000.0;47.0
2025;12;1;1;2;22;1;2;5.0;5000000.0;96.0
2025;12;2;1;2;43;2;2;8.0;1800000.0;55.0
2025;12;1;1;1;54;1;3;3.0;3000000.0;41.0
2025;12;1;1;1;51;1;2;5.0;1200000.0;52.0
2025;12;2;1;2;60;2;3;8.0;1400000.0;47.0
2025;12;1;1;2;59;1;3;3.0;320000.0;97.0
2025;12;1;1;1;42;1;2;10.0;5200000.0;84.0
2025;12;2;1;1;29;2;2;3.0;1000000.0;1.0
2025;12;1;1;1;61;1;3;3.0;600000.0;1.0
2025;12;1;1;1;33;1;2;5.0;1600000.0;10.0
2025;12;1;1;2;56;1;2;8.0;2300000.0;86.0
2025;12;2;1;2;57;2;3;8.0;800000.0;97.0
2025;12;1;1;2;32;1;3;5.0;1200000.0;47.0
2025;12;2;1;2;32;2;2;4.0;1500000.0;96.0
2025;12;1;1;2;26;1;2;10.0;1320000.0;46.0
2025;12;1;1;2;39;1;2;3.0;700000.0;47.0
2025;12;1;1;1;55;1;3;4.0;500000.0;47.0
2025;12;1;1;2;54;1;2;3.0;1200000.0;92.0
2025;12;2;1;1;60;2;3;3.0;1500000.0;93.0
2025;12;3;1;1;20;3;1;5.0;1623500.0;25.0
2025;12;1;1;1;51;1;3;3.0;400000.0;47.0
2025;12;1;1;1;50;1;2;5.0;1400000.0;47.0
2025;12;1;1;1;33;1;1;5.0;1800000.0;10.0
2025;12;1;1;2;35;1;2;4.0;1150000.0;97.0
2025;12;3;1;1;22;3;1;8.0;1423500.0;86.0
2025;12;1;1;1;42;1;2;3.0;1500000.0;15.0
2025;12;5;1;1;32;7;2;10.0;2500000.0;82.0
2025;12;2;1;1;40;2;2;8.0;2100000.0;52.0
2025;12;1;1;2;57;1;3;11.0;4000000.0;94.0
2025;12;1;1;1;26;1;2;5.0;1500000.0;45.0
2025;12;1;1;1;47;1;2;3.0;1000000.0;1.0
2025;12;1;1;1;45;1;2;8.0;1000000.0;45.0
2025;12;4;1;1;33;7;3;11.0;4000000.0;85.0
2025;12;2;1;1;41;2;3;4.0;1423000.0;1.0
2025;12;1;1;2;48;1;2;5.0;2500000.0;46.0
2025;12;1;1;1;22;1;2;3.0;700000.0;1.0
2025;12;3;1;2;32;3;1;5.0;1500000.0;31.0
2025;12;1;1;1;29;1;2;5.0;1423500.0;68.0
2025;12;1;1;1;50;1;2;3.0;600000.0;1.0
2025;12;2;1;2;56;2;1;3.0;300000.0;47.0
2025;12;3;1;2;30;3;1;5.0;750000.0;56.0
2025;12;1;1;1;56;1;3;9.0;4000000.0;56.0
2025;12;1;1;2;34;1;2;4.0;820000.0;97.0
2025;12;4;1;2;34;8;1;8.0;1600000.0;86.0
2025;12;2;1;2;30;2;2;12.0;5000000.0;84.0
2025;12;2;1;1;60;2;2;3.0;1423500.0;77.0
2025;12;4;1;2;21;13;2;5.0;120000.0;82.0
2025;12;1;1;2;37;1;2;5.0;600000.0;81.0
2025;12;1;1;1;46;1;3;3.0;1200000.0;1.0
2025;12;3;1;2;18;3;1;10.0;260000.0;56.0
2025;12;1;1;1;41;1;2;3.0;1400000.0;41.0
2025;12;2;1;1;49;3;1;6.0;2000000.0;49.0
2025;12;1;1;1;45;1;2;13.0;5000000.0;85.0
2025;12;1;1;2;32;1;2;10.0;3200000.0;85.0
2025;12;2;1;2;25;2;2;10.0;1600000.0;85.0
2025;12;1;1;2;63;1;2;4.0;150000.0;47.0
2025;12;3;1;2;32;3;1;5.0;1423500.0;47.0
2025;12;2;1;2;37;2;2;10.0;4000000.0;75.0
2025;12;1;1;2;35;1;2;3.0;500000.0;56.0
2025;12;2;1;2;70;6;2;3.0;1500000.0;14.0
2025;12;1;1;2;27;1;2;5.0;800000.0;56.0
2025;12;1;1;1;42;1;2;12.0;1200000.0;85.0
2025;12;2;1;2;45;2;2;5.0;1423500.0;10.0
2025;12;3;1;1;24;3;1;4.0;750000.0;49.0
2025;12;2;1;1;35;2;2;5.0;5000000.0;64.0
2025;12;1;1;2;48;1;3;5.0;1423000.0;47.0
2025;12;2;1;1;36;2;2;3.0;1400000.0;47.0
2025;12;1;1;1;27;1;2;4.0;1423500.0;41.0
2025;12;4;1;1;21;3;2;4.0;1200000.0;56.0
2025;12;1;1;2;27;1;2;9.0;906000.0;1.0
2025;12;1;1;1;44;1;2;10.0;3000000.0;85.0
2025;12;3;1;1;29;3;1;5.0;1400000.0;41.0
2025;12;1;1;1;59;1;2;10.0;1423500.0;49.0
2025;12;2;1;2;34;2;2;9.0;1423500.0;22.0
2025;12;1;1;1;45;1;2;5.0;1800000.0;49.0
2025;12;2;1;1;55;2;2;5.0;1000000.0;47.0
2025;12;1;1;1;45;1;2;5.0;1500000.0;56.0
2025;12;1;1;1;59;1;2;8.0;1800000.0;47.0
2025;12;3;1;1;29;3;1;10.0;140000.0;95.0
2025;12;4;1;2;17;9;1;5.0;150000.0;56.0
2025;12;1;1;1;51;1;2;5.0;1800000.0;45.0
2025;12;2;1;2;53;2;2;5.0;1623000.0;55.0
2025;12;3;1;2;56;6;3;10.0;2929000.0;64.0
2025;12;2;1;2;60;2;1;11.0;6000000.0;85.0
2025;12;1;1;2;62;1;2;5.0;700000.0;96.0
2025;12;1;1;2;35;1;3;10.0;2500000.0;84.0
2025;12;1;1;1;33;1;2;5.0;1500000.0;41.0
2025;12;2;1;1;64;2;2;3.0;560000.0;1.0
2025;12;1;1;2;50;1;1;5.0;1800000.0;56.0
2025;12;1;1;2;41;1;2;5.0;450000.0;97.0
2025;12;2;1;2;72;2;3;5.0;750000.0;96.0
2025;12;2;1;1;33;2;2;8.0;1423500.0;60.0
2025;12;4;1;2;18;3;1;7.0;250000.0;56.0
2025;12;2;1;1;27;2;2;6.0;3500000.0;84.0
2025;12;3;1;1;40;8;1;8.0;1200000.0;41.0
2025;12;2;1;1;44;2;1;5.0;1400000.0;49.0
2025;12;2;1;2;50;2;2;11.0;6700000.0;85.0
2025;12;1;1;1;32;1;2;8.0;1423500.0;30.0
2025;12;2;1;2;56;2;3;9.0;2300000.0;85.0
2025;12;1;1;2;52;1;3;5.0;1600000.0;47.0
2025;12;2;2;2;17;2;2;4.0;800000.0;38.0
2025;12;1;1;1;62;1;3;6.0;2000000.0;1.0
2025;12;1;1;2;23;1;2;10.0;530000.0;56.0
2025;12;3;1;1;22;3;1;5.0;1500000.0;10.0
2025;12;2;1;1;21;2;2;6.0;1800000.0;53.0
2025;12;1;1;2;51;1;2;3.0;410000.0;47.0
2025;12;2;1;2;44;2;2;5.0;800000.0;56.0
2025;12;2;1;2;34;2;2;10.0;4000000.0;10.0
2025;12;4;1;1;25;3;1;10.0;500000.0;93.0
2025;12;1;1;1;40;1;2;4.0;1500000.0;45.0
2025;12;2;1;2;26;3;1;5.0;1200000.0;47.0
2025;12;2;1;1;36;2;2;5.0;1400000.0;49.0
2025;12;1;1;2;35;1;3;10.0;1500000.0;86.0
2025;12;1;1;2;30;1;2;8.0;1784000.0;86.0
2025;12;1;1;2;44;1;1;5.0;1426000.0;14.0
2025;12;2;1;1;35;3;3;8.0;1700000.0;45.0
2025;12;1;1;1;59;1;2;3.0;1000000.0;56.0
2025;12;1;1;1;33;1;2;10.0;20000000.0;63.0
2025;12;1;1;1;55;1;2;3.0;1500000.0;1.0
2025;12;1;1;1;49;1;3;10.0;3000000.0;61.0
2025;12;1;1;1;57;1;3;5.0;1850000.0;1.0
2025;12;1;1;2;24;1;1;5.0;1300000.0;56.0
2025;12;1;1;1;32;1;2;5.0;2500000.0;47.0
2025;12;1;1;1;35;1;2;3.0;2400000.0;45.0
2025;12;2;1;1;24;3;1;5.0;1200000.0;33.0
2025;12;1;2;1;30;1;2;5.0;800000.0;47.0
2025;12;1;1;1;40;1;3;4.0;1423500.0;1.0
2025;12;10;1;2;23;9;2;5.0;1423500.0;14.0
2025;12;1;1;1;64;1;3;3.0;2000000.0;43.0
2025;12;2;1;1;57;2;2;1.0;1000000.0;1.0
2025;12;1;1;1;51;1;2;9.0;2500000.0;64.0
2025;12;1;1;1;64;1;3;3.0;450000.0;52.0
2025;12;1;1;2;38;1;2;5.0;1500000.0;96.0
2025;12;2;1;1;28;6;2;10.0;1700000.0;86.0
2025;12;1;1;2;47;1;2;10.0;1423500.0;47.0
2025;12;1;1;2;45;1;2;10.0;2571000.0;86.0
2025;12;1;1;1;69;1;3;3.0;2000000.0;49.0
2025;12;2;1;2;30;3;1;5.0;1423500.0;47.0
2025;12;1;1;1;34;1;2;8.0;3200000.0;64.0
2025;12;3;1;1;21;3;1;5.0;500000.0;96.0
2025;12;4;1;1;35;7;2;5.0;800000.0;49.0
2025;12;1;1;1;36;1;2;10.0;4500000.0;35.0
2025;12;1;1;1;25;1;2;5.0;1500000.0;49.0
2025;12;1;1;2;22;1;2;5.0;1000000.0;47.0
2025;12;3;1;1;52;9;3;1.0;800000.0;1.0
2025;12;1;1;2;33;1;2;8.0;2200000.0;86.0
