directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8449968,2,1,2,10,2025,2,37,5.0,1200000.0,32575
8467506,1,1,1,10,2025,1,40,4.0,1500000.0,52364
8438617,1,2,1,10,2025,1,23,4.0,550000.0,6442
8447183,1,3,1,10,2025,2,21,8.0,1550000.0,26311
8440207,1,2,1,10,2025,1,37,9.0,4500000.0,10002
8465105,1,2,1,10,2025,1,26,5.0,200000.0,47021
8440101,1,2,1,10,2025,2,29,5.0,1423500.0,9768
8469872,1,1,1,10,2025,1,65,4.0,2700000.0,58344
8450529,1,1,1,10,2025,2,45,5.0,700000.0,33948
8469500,1,3,1,10,2025,1,26,10.0,4000000.0,57360
8436014,1,1,1,10,2025,1,50,1.0,800000.0,175
8442672,1,2,1,10,2025,2,30,5.0,600000.0,15649
8466741,1,1,1,10,2025,2,64,3.0,1000000.0,50472
8469873,1,1,1,10,2025,1,64,3.0,1100000.0,58346
8463366,1,2,1,10,2025,2,37,5.0,1200000.0,43077
8436667,1,2,1,10,2025,2,58,4.0,300000.0,1757
8451096,1,1,1,10,2025,1,50,10.0,3520000.0,35352
8466758,1,1,1,10,2025,2,41,10.0,2000000.0,50519
8441817,1,1,1,10,2025,1,47,1.0,680000.0,13514
8471878,1,2,1,10,2025,1,50,5.0,1000000.0,62853
8441553,1,3,1,10,2025,1,26,8.0,2400000.0,13013
8443163,1,1,1,10,2025,1,63,4.0,300000.0,16853
8467491,1,2,1,10,2025,2,51,4.0,950000.0,52334
8467176,1,2,1,10,2025,1,31,5.0,1423500.0,51575
8450534,1,3,1,10,2025,2,48,6.0,80000.0,33967
8436980,1,2,1,10,2025,2,28,10.0,1600000.0,2664
8463025,1,2,1,10,2025,1,32,3.0,940000.0,42256
8468314,1,3,1,10,2025,1,33,5.0,1600000.0,54294
8461995,1,4,1,10,2025,2,33,5.0,750000.0,39988
8446436,1,2,1,10,2025,2,28,5.0,1423500.0,24678
8473865,1,2,1,10,2025,1,65,3.0,800000.0,66439
8439786,1,1,1,10,2025,2,49,4.0,800000.0,9111
8470393,1,2,1,10,2025,1,25,5.0,1420000.0,59618
8446041,1,1,1,10,2025,2,30,8.0,2100000.0,23646
8439542,1,1,1,10,2025,2,41,5.0,700000.0,8520
8443951,1,1,1,10,2025,1,32,4.0,800000.0,18901
8451793,1,1,1,10,2025,1,60,5.0,1623500.0,37167
