per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2025;12;1;1;1;32;1;2;5;1200000;3
2025;12;2;1;2;28;2;2;8;;56
2025;12;3;1;1;0;3;1;;;
2025;12;1;1;1;75;1;3;1;2000000;3
2025;12;1;1;1;68;1;3;3;1800000;3
2025;12;1;1;1;66;1;3;3;2400000;3
2025;12;1;1;1;51;1;2;5;1500000;3
2025;12;1;1;1;59;1;3;4;1650000;3
2025;12;1;1;2;56;1;3;8;2250000;56
2025;12;1;1;1;44;1;3;5;1800000;78
2025;12;2;1;2;43;2;2;10;;
2025;12;3;1;1;13;3;1;4;;
2025;12;4;1;1;11;3;1;4;;
2025;12;1;1;1;83;1;3;3;;
2025;12;1;1;1;72;1;3;5;;
2025;12;1;1;2;61;1;3;3;;
2025;12;2;1;1;71;2;3;5;800000;1
2025;12;1;1;1;41;1;3;5;220000;1
2025;12;2;1;1;53;9;3;1;;
2025;12;1;1;1;70;1;3;1;;1
2025;12;1;1;1;56;1;3;3;900000;1
2025;12;2;1;2;45;2;3;5;760000;97
2025;12;1;1;2;41;1;3;5;300000;47
2025;12;2;1;1;42;2;2;4;400000;41
2025;12;3;1;2;17;3;1;5;;
2025;12;4;1;2;15;3;1;5;;
2025;12;1;1;2;38;1;2;3;;
2025;12;2;1;1;28;2;2;1;500000;41
2025;12;3;1;1;17;3;1;4;;
2025;12;4;1;2;0;3;1;;;
2025;12;1;1;1;60;1;3;3;450000;1
2025;12;2;1;2;60;2;3;4;150000;47
2025;12;3;1;1;21;3;1;4;400000;56
2025;12;4;1;2;16;7;2;4;;
2025;12;1;1;1;43;1;2;5;350000;1
2025;12;2;1;2;38;2;2;8;1423500;88
2025;12;3;1;1;16;3;1;5;;
2025;12;4;1;1;9;3;1;3;;
2025;12;5;1;1;7;3;1;3;;
2025;12;6;1;2;3;3;1;2;;
2025;12;1;1;1;54;1;3;10;4300000;85
2025;12;2;1;2;43;2;2;5;;
2025;12;3;1;1;14;3;1;4;;
2025;12;1;1;1;69;1;3;1;200000;1
2025;12;2;1;2;61;2;2;3;;
2025;12;3;1;1;26;3;1;1;;
2025;12;4;1;2;32;3;1;4;;
2025;12;5;1;2;10;8;1;3;;
2025;12;6;1;2;8;8;1;3;;
2025;12;7;1;1;5;8;1;2;;
2025;12;8;1;2;24;3;1;5;400000;97
2025;12;9;1;1;4;8;1;2;;
2025;12;10;1;2;16;8;2;4;;
2025;12;1;1;2;28;1;2;5;;
2025;12;2;1;1;8;3;1;3;;
2025;12;3;1;2;4;3;1;1;;
2025;12;4;1;2;2;3;1;;;
2025;12;1;1;2;57;1;2;3;;
2025;12;2;1;1;42;2;2;3;0;1
2025;12;3;1;2;11;9;2;3;;
2025;12;4;1;2;7;9;2;3;;
2025;12;5;1;1;45;13;2;1;1080000;1
2025;12;1;1;2;77;1;3;3;;
2025;12;1;1;1;76;1;3;1;400000;47
2025;12;1;1;2;66;1;3;3;;
2025;12;1;1;2;80;1;3;1;;
2025;12;1;1;2;40;1;2;3;300000;97
2025;12;2;1;2;21;3;1;10;;
2025;12;3;1;1;17;3;1;4;;
2025;12;1;1;1;65;1;3;8;400000;74
2025;12;1;1;1;49;1;2;3;350000;47
2025;12;2;1;2;39;2;2;3;;47
2025;12;3;1;2;20;3;1;5;;
2025;12;4;1;1;14;3;1;4;;
2025;12;5;1;2;7;3;1;3;;
2025;12;6;1;2;22;9;2;5;;
2025;12;1;1;2;70;1;3;3;;
2025;12;2;1;2;47;3;1;10;1600000;84
2025;12;3;1;1;32;3;1;9;1600000;43
2025;12;1;1;1;69;1;3;3;640000;1
2025;12;2;1;2;17;3;2;5;;
2025;12;3;1;1;24;3;2;5;400000;42
2025;12;4;1;2;24;3;2;5;300000;10
2025;12;5;1;1;6;8;1;3;;
2025;12;6;1;2;4;8;1;2;;
2025;12;7;1;2;21;3;2;5;;
2025;12;8;1;1;1;8;1;;;
2025;12;1;1;2;52;1;3;11;5000000;85
2025;12;2;1;2;14;3;1;4;;
2025;12;1;1;2;54;1;1;4;;
2025;12;2;1;1;16;3;1;4;;
2025;12;3;1;2;28;3;1;5;250000;96
2025;12;4;1;1;6;8;1;3;;
2025;12;5;1;1;4;8;1;2;;
2025;12;6;1;2;82;4;3;1;;
2025;12;1;1;2;86;1;3;3;;
